slice,B_Area1_5
70,0.000062
70,0.4058
70,0.000246
70,0.001169
70,0.01686
70,0.000861
70,0.000062
70,0.04042
71,0.5243
71,0.000185
71,0.01852
71,0.002399
71,0.02498
72,0.5546
72,0.000923
72,0.002768
72,0.000185
72,0.01144
72,0.005782
73,0.5506
73,0.000062
73,0.000369
73,0.000123
73,0.006767
73,0.0008
73,0.000246
74,0.5786
74,0.001661
74,0.000246
74,0.000615
74,0.000062
74,0.000185
74,0.000185
74,0.001292
75,0.5776
75,0.000123
75,0.00203
76,0.5394
76,0.000062
76,0.000062
76,0.000185
77,0.4844
77,0.001169
77,0.000062
77,0.000062
78,0.3329
78,0.1073
79,0.3131
79,0.09873
79,0.006705
79,0.001046
79,0.000554
80,0.2689
80,0.09719
80,0.007628
80,0.000615
80,0.002276
80,0.000185
80,0.03063
80,0.000062
80,0.000062
80,0.000185
80,0.000431
80,0.000246
81,0.3385
81,0.09682
81,0.002215
81,0.004552
81,0.000984
82,0.3819
82,0.09892
82,0.006582
82,0.000062
82,0.002399
83,0.1407
83,0.09467
83,0.000984
83,0.06514
83,0.000062
83,0.000246
83,0.000062
83,0.000246
83,0.002092
83,0.003814
83,0.001415
83,0.159
83,0.003875
83,0.000062
84,0.1375
84,0.09916
84,0.2531
84,0.002461
84,0.000308
84,0.00609
85,0.07203
85,0.01993
85,0.1107
85,0.2379
85,0.000185
85,0.01009
85,0.000062
86,0.006644
86,0.001599
86,0.05339
86,0.000062
86,0.005659
86,0.0008
86,0.09713
86,0.001476
86,0.1855
86,0.000369
86,0.000185
86,0.000062
86,0.000123
86,0.001169
86,0.000062
86,0.000123
87,0.005106
87,0.005044
87,0.1425
87,0.04029
87,0.07357
87,0.000554
87,0.000185
87,0.000062
87,0.000246
87,0.008612
87,0.000185
87,0.000554
87,0.000062
87,0.01962
87,0.000615
87,0.000369
88,0.1294
88,0.000308
88,0.03106
88,0.03949
88,0.00529
88,0.000308
88,0.000062
88,0.008489
88,0.000185
88,0.000123
88,0.000062
89,0.09676
89,0.02005
89,0.000923
89,0.009043
89,0.002092
89,0.000062
89,0.002584
89,0.001353
90,0.008674
90,0.009781
90,0.000062
90,0.000062
90,0.004491
90,0.04257
90,0.002707
90,0.002153
91,0.000677
91,0.000062
91,0.002891
91,0.05204
91,0.000123
91,0.000431
91,0.003322
91,0.001722
92,0.07443
92,0.000861
92,0.000308
93,0.06459
93,0.000246
94,0.02079
94,0.02762
94,0.00283
94,0.000185
95,0.02128
95,0.02645
95,0.007751
95,0.01396
96,0.001599
96,0.01802
96,0.0008
96,0.0307
96,0.000062
96,0.01562
96,0.02547
97,0.02092
97,0.000923
97,0.002338
97,0.03266
97,0.000062
97,0.000123
97,0.01544
97,0.03648
98,0.000923
98,0.0259
98,0.000062
98,0.000062
98,0.005598
98,0.031
98,0.000984
98,0.000062
98,0.01587
98,0.04128
98,0.003076
99,0.02454
99,0.006644
99,0.000185
99,0.03334
99,0.000308
99,0.006336
99,0.07954
100,0.01618
100,0.008612
100,0.03488
100,0.004983
100,0.1359
100,0.000185
101,0.003629
101,0.223
101,0.03857
102,0.2685
102,0.03365
102,0.00326
103,0.2481
103,0.02596
103,0.000123
103,0.000308
103,0.000062
103,0.004614
104,0.2114
104,0.02233
105,0.1379
105,0.02135
105,0.03426
105,0.000062
105,0.000062
105,0.000062
105,0.000185
105,0.000615
106,0.1708
106,0.01858
106,0.000369
107,0.1789
107,0.01845
108,0.002768
108,0.000185
108,0.1895
108,0.02307
109,0.05592
109,0.1962
109,0.001353
109,0.02602
109,0.001968
110,0.133
110,0.1826
110,0.000062
110,0.02467
111,0.2426
111,0.000062
111,0.000062
111,0.000062
111,0.002645
111,0.000062
111,0.000492
111,0.002153
111,0.1546
111,0.02018
111,0.000062
112,0.3524
112,0.01606
112,0.1457
113,0.4615
113,0.000062
113,0.000246
113,0.001907
113,0.1347
113,0.000123
113,0.02005
113,0.000123
113,0.000123
113,0.000123
113,0.000677
113,0.000308
113,0.000123
113,0.000431
114,0.5271
114,0.2049
115,0.5869
115,0.2496
116,0.9657
116,0.000062
116,0.003322
116,0.000123
117,1.064
117,0.000062
118,1.106
118,0.000062
119,1.14
120,1.165
121,1.113
122,0.9443
122,0.000677
122,0.000062
123,0.6484
123,0.08095
123,0.000062
123,0.0481
123,0.001538
124,0.6449
124,0.04737
124,0.000062
124,0.007074
124,0.000062
124,0.000984
125,0.5691
125,0.000062
125,0.02947
126,0.4978
126,0.02331
126,0.000615
127,0.4171
127,0.01796
128,0.3405
128,0.008612
129,0.2346
129,0.000062
129,0.000246
129,0.000062
129,0.000308
129,0.000369
129,0.000554
130,0.008181
130,0.08612
130,0.000185
130,0.005167
130,0.000062
130,0.000431
130,0.000062
130,0.000123
131,0.0112
131,0.003137
131,0.000062
131,0.000123
131,0.000308
131,0.000308
131,0.000615
132,0.000984
132,0.009227
133,0.01169
134,0.008797
134,0.000615
135,0.000677
135,0.000431
135,0.000062
136,0.000677
136,0.004491
136,0.000123
137,0.001784
137,0.004798
137,0.000431
137,0.000123
137,0.000923
137,0.000062
138,0.000308
138,0.000123
138,0.00406
138,0.001845
138,0.000738
138,0.000677
138,0.000062
138,0.000431
138,0.000677
139,0.00935
139,0.000738
139,0.01624
139,0.000492
139,0.01452
139,0.000062
139,0.000062
