slice,B_Area4
24,0.000062
24,0.000185
24,0.000062
24,0.000062
24,0.000246
24,0.000615
24,0.5038
24,0.000062
24,0.000615
24,0.000062
24,0.001046
24,0.00283
24,0.01101
24,0.009842
24,0.1009
24,0.007443
24,0.1311
24,0.004368
24,0.004552
24,0.001599
24,0.03777
24,0.000492
24,0.005598
24,0.000062
24,0.000062
25,0.000062
25,0.006275
25,0.000062
25,0.06748
25,0.1107
25,0.000062
25,0.000554
25,0.003322
25,0.7777
25,0.000062
25,0.000062
25,0.000246
25,0.000615
25,0.000062
25,0.000123
25,0.00406
25,0.000062
25,0.1103
25,0.000185
25,0.007874
25,0.005967
25,0.3626
25,0.01181
25,0.000246
25,0.008612
25,0.009658
25,0.1082
25,0.004737
25,0.005413
25,0.007259
25,0.008735
25,0.08754
25,0.003383
25,0.001538
25,0.000062
25,0.003137
25,0.000062
25,0.000062
25,0.000123
25,0.02055
25,0.001292
25,0.000062
26,0.000062
26,0.000062
26,0.003506
26,0.008181
26,0.000062
26,0.000062
26,0.000923
26,0.07812
26,0.1377
26,0.003691
26,0.004245
26,0.000123
26,0.8797
26,0.000062
26,0.000431
26,0.1158
26,0.003875
26,0.000431
26,0.003752
26,0.3548
26,0.006459
26,0.00935
26,0.1258
26,0.000554
26,0.000615
26,0.000246
26,0.000431
26,0.004183
26,0.07283
26,0.005413
26,0.005905
26,0.002276
27,0.01341
27,0.1537
27,0.07769
27,0.000062
27,0.005352
27,0.007874
27,0.001845
27,0.6676
27,0.000431
27,0.000062
27,0.000062
27,0.000062
27,0.000062
27,0.000123
27,0.000123
27,0.000062
27,0.000062
27,0.000062
27,0.000123
27,0.000062
27,0.000246
27,0.002645
27,0.000123
27,0.002522
27,0.1254
27,0.000246
27,0.000123
27,0.000062
27,0.000123
27,0.000062
27,0.000246
27,0.000123
27,0.3565
27,0.000062
27,0.003506
27,0.000062
27,0.003076
27,0.000431
27,0.000062
27,0.007566
27,0.008489
27,0.1404
27,0.009965
27,0.001292
27,0.008735
27,0.001968
27,0.1136
27,0.000431
27,0.000554
27,0.0008
27,0.000062
27,0.004306
27,0.006275
27,0.000185
27,0.000185
27,0.000123
27,0.000062
27,0.000062
27,0.000062
27,0.000062
27,0.000062
28,0.03783
28,0.000062
28,0.1574
28,0.000062
28,0.000246
28,0.000123
28,0.02879
28,0.000123
28,0.000492
28,0.01206
28,0.1647
28,0.5307
28,0.000062
28,0.000123
28,0.007505
28,0.000123
28,0.000492
28,0.000246
28,0.000062
28,0.001476
28,0.001046
28,0.004614
28,0.000123
28,0.000738
28,0.000062
28,0.000123
28,0.000246
28,0.000615
28,0.000062
28,0.000492
28,0.000123
28,0.1347
28,0.000062
28,0.3787
28,0.000123
28,0.000369
28,0.000185
28,0.000062
28,0.000062
28,0.002645
28,0.001169
28,0.1543
28,0.00689
28,0.000615
28,0.01249
28,0.001046
28,0.02707
28,0.000984
28,0.01433
28,0.000062
